epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,202.48,3.0762,4.5705,4.18486,0.00431,0.75519,0.0085,0.00238,3.38035,5.17897,4.14482,0.000203598,0.000203598,0.000203598
2,405.228,3.01789,4.46479,4.07179,0.00376,0.71017,0.02634,0.00717,3.37513,5.40904,4.03225,0.000403776,0.000403776,0.000403776
3,631.903,2.92943,4.28622,3.82191,0.04969,0.86003,0.06593,0.02337,3.41628,10.665,4.16442,0.000595703,0.000595703,0.000595703
4,1015.7,2.72014,4.15435,3.5375,0.38025,0.07864,0.03284,0.00764,2.92959,9.83238,3.35632,0.000587875,0.000587875,0.000587875
5,1428.38,2.49686,4.00016,3.28087,0.49742,0.07819,0.06299,0.02609,3.01426,4.7551,3.34371,0.0005755,0.0005755,0.0005755
6,1701.41,2.31324,3.85672,3.05013,0.14116,0.35505,0.09209,0.04021,2.65239,5.21728,3.13997,0.000563125,0.000563125,0.000563125
7,1902.24,2.14956,3.673,2.85435,0.12266,0.08658,0.08034,0.02931,2.28332,4.81824,3.06097,0.00055075,0.00055075,0.00055075
8,2108.31,1.99133,3.56521,2.70479,0.16617,0.23016,0.10698,0.05318,2.08449,4.46317,2.88012,0.000538375,0.000538375,0.000538375
9,2313.18,1.89809,3.44701,2.58334,0.16114,0.13889,0.1055,0.05335,2.01308,5.81337,2.758,0.000526,0.000526,0.000526
10,2517.92,1.82064,3.35722,2.50263,0.37643,0.17703,0.16398,0.08616,1.98107,4.55313,2.73316,0.000513625,0.000513625,0.000513625
11,2726.86,1.75134,3.24834,2.43423,0.29044,0.27525,0.14242,0.07418,1.78015,3.98863,2.49545,0.00050125,0.00050125,0.00050125
12,2931.75,1.64007,3.12814,2.32515,0.25971,0.35361,0.1977,0.10157,1.76228,4.0167,2.49922,0.000488875,0.000488875,0.000488875
13,3135.3,1.57406,3.08013,2.24941,0.27769,0.28717,0.22905,0.12574,1.7916,3.44695,2.53183,0.0004765,0.0004765,0.0004765
14,3335.66,1.56167,2.97362,2.20569,0.44155,0.29571,0.20997,0.11898,1.76658,3.81196,2.51964,0.000464125,0.000464125,0.000464125
15,3538.74,1.52878,2.90321,2.15963,0.25679,0.2671,0.21602,0.11533,1.77615,3.62471,2.49553,0.00045175,0.00045175,0.00045175
16,3736.36,1.46567,2.88428,2.1123,0.27758,0.46161,0.25948,0.15113,1.68359,3.52395,2.44857,0.000439375,0.000439375,0.000439375
17,3938.13,1.44949,2.80052,2.10444,0.42706,0.32395,0.27607,0.15243,1.63663,3.38586,2.32027,0.000427,0.000427,0.000427
18,4136.29,1.44421,2.78625,2.09234,0.31025,0.37814,0.25721,0.15481,1.61681,3.20762,2.31599,0.000414625,0.000414625,0.000414625
19,4335.3,1.39518,2.69863,2.03267,0.36338,0.39996,0.30395,0.17178,1.60904,3.29772,2.35761,0.00040225,0.00040225,0.00040225
20,4535.62,1.38596,2.65021,2.01523,0.44949,0.39645,0.29098,0.17175,1.57568,3.20976,2.17644,0.000389875,0.000389875,0.000389875
21,4737.68,1.36991,2.61772,1.99772,0.34038,0.4373,0.27877,0.16148,1.461,3.12953,2.16985,0.0003775,0.0003775,0.0003775
22,4943.38,1.33024,2.58555,1.95487,0.37691,0.45498,0.32314,0.19249,1.60374,3.27481,2.21864,0.000365125,0.000365125,0.000365125
23,5144.81,1.32345,2.54188,1.9619,0.59583,0.33884,0.35735,0.20303,1.40429,3.00427,2.10143,0.00035275,0.00035275,0.00035275
24,5346.84,1.32192,2.4679,1.9445,0.41533,0.42742,0.35879,0.22187,1.52257,2.66969,2.14414,0.000340375,0.000340375,0.000340375
25,5551.81,1.30952,2.42391,1.93146,0.64516,0.3273,0.39074,0.23528,1.61064,2.87449,2.17377,0.000328,0.000328,0.000328
26,5757.01,1.29327,2.415,1.91711,0.41935,0.4946,0.37283,0.22754,1.721,2.64564,2.18707,0.000315625,0.000315625,0.000315625
27,5961.2,1.31236,2.39862,1.93096,0.47356,0.43605,0.3906,0.23944,1.5591,2.74149,2.12701,0.00030325,0.00030325,0.00030325
28,6162.99,1.27548,2.36544,1.89987,0.60172,0.39253,0.41877,0.26103,1.60345,2.47754,2.09882,0.000290875,0.000290875,0.000290875
29,6366.43,1.22682,2.29333,1.86267,0.53431,0.40369,0.37084,0.21603,1.63887,2.50819,2.18878,0.0002785,0.0002785,0.0002785
30,6565.5,1.22764,2.30276,1.86498,0.31977,0.48624,0.40233,0.25026,1.56905,2.40557,2.08837,0.000266125,0.000266125,0.000266125
31,6769.3,1.20735,2.24489,1.82317,0.48653,0.45434,0.41551,0.25537,1.44483,2.37566,1.98366,0.00025375,0.00025375,0.00025375
32,6968.18,1.22919,2.27738,1.84437,0.42872,0.4177,0.38533,0.23086,1.36622,2.44957,1.93243,0.000241375,0.000241375,0.000241375
33,7167.18,1.2059,2.21614,1.82445,0.35552,0.54925,0.4338,0.24575,1.33803,2.26573,1.94392,0.000229,0.000229,0.000229
34,7367.92,1.22518,2.18822,1.84375,0.61311,0.42797,0.43657,0.25649,1.44892,2.28473,1.97903,0.000216625,0.000216625,0.000216625
35,7567.08,1.19541,2.17533,1.80914,0.32728,0.5204,0.43549,0.26408,1.21378,2.26054,1.85396,0.00020425,0.00020425,0.00020425
